"filters1","filters2","filters3","filters4","filters5","kernel_size","batch_size","droprate1","droprate2","droprate3","droprate4","droprate5","val_loss","best_epoch","val_auc"
8,32,16,16,32,5,32,0.2,0,0.1,0.1,0.2,0.290780961513519,21,0.957740366458893
8,8,8,8,16,3,64,0.2,0.1,0.2,0.1,0,0.301383227109909,22,0.938632547855377
32,32,32,8,16,5,128,0,0.2,0.1,0.1,0,0.301874816417694,9,0.950803577899933
16,32,16,16,16,5,32,0.1,0.1,0,0.1,0.1,0.32543471455574,10,0.937360048294067
16,32,16,16,16,7,64,0.1,0.1,0,0.2,0.1,0.32950484752655,16,0.93569004535675
32,32,8,32,8,5,32,0.2,0.2,0,0.2,0.1,0.334402054548264,32,0.937247037887573
8,32,8,32,8,7,128,0,0,0.1,0,0,0.34522071480751,19,0.927709102630615
8,16,16,32,32,7,32,0,0,0,0.1,0,0.351726144552231,24,0.924217402935028
32,32,32,8,8,7,128,0,0.1,0.1,0.2,0,0.385568827390671,25,0.907823801040649
16,32,32,32,16,3,32,0,0.1,0,0.1,0.1,0.386819392442703,1,0.904062867164612
32,32,16,32,8,5,64,0.1,0.1,0.1,0.2,0.2,0.400840371847153,17,0.898591160774231
8,16,16,16,16,7,64,0.1,0.2,0,0,0,0.41911455988884,35,0.897240996360779
32,16,32,8,16,5,128,0.2,0.1,0,0.2,0,0.434655904769897,2,0.924261569976807
32,16,16,16,8,7,32,0.2,0.2,0.1,0.1,0,0.445310264825821,22,0.87733918428421
32,8,16,32,32,7,64,0.1,0,0.1,0.1,0,0.471674084663391,30,0.875367820262909
8,32,8,8,8,7,32,0.1,0.2,0.2,0,0,0.478745371103287,2,0.851152002811432
8,8,32,8,16,3,64,0.1,0,0.1,0.2,0,0.484105885028839,13,0.852290391921997
8,16,16,8,16,3,128,0.2,0.2,0.1,0.1,0.1,0.567233800888062,83,0.796359658241272
16,32,8,32,8,3,64,0.1,0,0,0.1,0,0.614307343959808,4,0.709645867347717
8,32,32,32,16,3,128,0.2,0.2,0.2,0.1,0,0.81071949005127,21,0.721168160438538
